"","W","p_val","q_val","diff_abn"
"Unclassified Alphaproteobacteria",9.54319758172014,0,0,TRUE
"Bacteria_Proteobacteria_Alphaproteobacteria_uncultured_uncultured bacterium",1.10447760826684,0,0,TRUE
"Bacteriovoracaceae",0.679255990608195,0,0,TRUE
"Desulfobulbaceae",1.47061014887809,0,0,TRUE
"Nannocystaceae",0.175817530429352,0,0,TRUE
"Sandaracinaceae",0.257728389030383,0.776629810816175,0.891970871828478,FALSE
"Oligoflexaceae",0.536406149558135,0,0,TRUE
"Unclassified Deltaproteobacteria",2.71727009777566,0,0,TRUE
"Alteromonadaceae",0.190092549698295,0,0,TRUE
"Shewanellaceae",0.0766816762851837,0,0,TRUE
"Burkholderiaceae",46.3295034667166,1.99895165805584e-11,7.72927974448258e-10,TRUE
"Neisseriaceae",3.44165991529355,0,0,TRUE
"Rhodocyclaceae",38.9663256724233,8.62358626057292e-10,2.00067201245292e-08,TRUE
"Halieaceae",0.00405364767084663,0,0,TRUE
"Enterobacteriaceae",1.36286525100156,0,0,TRUE
"Francisellaceae",1.11202956732423,0,0,TRUE
"Unknown Family",0.82764824902305,0,0,TRUE
"Endozoicomonadaceae",3.81496270876551,0,0,TRUE
"Pasteurellaceae",0.898417963911699,0.686412535234151,0.858586228262367,FALSE
"Moraxellaceae",2.15871198329693,0,0,TRUE
"Pseudomonadaceae",37.6194480449736,1.71965824080052e-09,3.32467259888102e-08,TRUE
"Woeseiaceae",5.92338227287153,0,0,TRUE
"Unclassified Gammaproteobacteria",15.4325839186257,0,0,TRUE
"Vibrionaceae",5.54415018697561,0,0,TRUE
"Xanthomonadaceae",0.177562780510979,0,0,TRUE
"Unclassified Proteobacteria",0.189539646859091,0,0,TRUE
"Spirochaetaceae",0.128718513736539,0,0,TRUE
"Unclassified Bacteria",10.0728425373782,0,0,TRUE
"Puniceicoccaceae",0.0551682819553223,0.371395155297658,0.662797507915821,FALSE
"DEV007",11.6103956496327,0,0,TRUE
"Rubritaleaceae",23.5885852546044,0,0,TRUE
"Unclassified Verrucomicrobiales",0.218426859671567,0,0,TRUE
"Unclassified Unassigned",7.396622824765,0,0,TRUE
