#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g13824.t1      -          PF13927_seed         -            2.8e-26   92.7   4.2   1.3e-08   36.0   0.1   4.1   3   0   0   3   3   3   3 -
anno1.g15263.t1      -          PF13927_seed         -            4.1e-26   92.2   6.9   5.2e-14   53.4   0.2   4.0   4   0   0   4   4   3   2 -
anno1.g13931.t1      -          PF13927_seed         -            2.5e-25   89.7   0.5   3.8e-13   50.6   0.0   4.5   4   0   0   4   4   2   2 -
anno1.g29365.t1      -          PF13927_seed         -            2.5e-25   89.6   0.2   1.6e-12   48.6   0.1   2.9   2   0   0   2   2   2   2 -
anno1.g10695.t1      -          PF13927_seed         -            2.8e-25   89.5   7.5   7.8e-09   36.8   0.2   4.6   4   2   0   4   4   4   4 -
anno1.g18180.t2      -          PF13927_seed         -            3.7e-25   89.1  12.3   9.7e-15   55.7   0.2   4.3   4   0   0   4   4   2   2 -
anno1.g12962.t2      -          PF13927_seed         -            6.4e-25   88.3   1.6   9.6e-13   49.3   0.1   2.2   2   0   0   2   2   2   2 -
anno1.g5328.t1       -          PF13927_seed         -            7.7e-25   88.1   1.7     3e-11   44.5   0.1   3.5   3   0   0   3   3   3   3 -
anno1.g25038.t1      -          PF13927_seed         -            1.1e-24   87.6   4.4   4.3e-10   40.8   0.0   5.4   5   0   0   5   5   3   2 -
anno1.g8239.t1       -          PF13927_seed         -            1.1e-24   87.6   0.0   2.5e-12   48.0   0.0   2.6   2   0   0   2   2   2   2 -
anno1.g27592.t1      -          PF13927_seed         -            1.1e-24   87.6   8.6     4e-13   50.6   0.2   5.5   5   0   0   5   5   5   2 -
anno1.g6857.t1       -          PF13927_seed         -            1.8e-24   86.9   0.0     1e-10   42.8   0.0   2.4   2   0   0   2   2   2   2 -
anno1.g15262.t1      -          PF13927_seed         -            1.8e-24   86.9   6.8   1.6e-11   45.4   0.4   4.1   4   0   0   4   4   3   2 -
anno1.g16318.t1      -          PF13927_seed         -            1.8e-24   86.9   4.0   2.6e-13   51.2   0.6   2.8   2   0   0   2   2   2   2 -
anno1.g18197.t2      -          PF13927_seed         -            2.8e-24   86.3   4.1   8.4e-15   55.9   0.0   4.9   5   0   0   5   5   3   2 -
anno1.g13290.t1      -          PF13927_seed         -            3.1e-24   86.2   0.5   7.5e-12   46.5   0.1   2.5   2   0   0   2   2   2   2 -
anno1.g17141.t1      -          PF13927_seed         -            5.2e-24   85.4   7.9   1.6e-11   45.4   0.1   3.5   3   0   0   3   3   2   2 -
anno1.g32175.t1      -          PF13927_seed         -            1.9e-23   83.6   8.1     6e-13   50.0   0.5   2.2   2   0   0   2   2   2   2 -
anno1.g3956.t1       -          PF13927_seed         -            2.5e-23   83.2  11.0   2.6e-10   41.5   0.3   4.4   4   0   0   4   4   4   2 -
anno1.g6150.t1       -          PF13927_seed         -            2.7e-23   83.1   7.7   9.7e-12   46.1   0.7   2.6   2   0   0   2   2   2   2 -
anno1.g3757.t1       -          PF13927_seed         -            1.7e-22   80.5   2.0   1.3e-10   42.5   0.1   3.2   3   0   0   3   3   2   2 -
anno1.g7817.t1       -          PF13927_seed         -            2.2e-22   80.2   0.1   2.4e-14   54.5   0.0   2.5   2   0   0   2   2   2   2 -
anno1.g9860.t1       -          PF13927_seed         -            2.7e-22   79.9   0.1   3.8e-11   44.2   0.1   2.9   2   0   0   2   2   2   2 -
anno1.g1574.t1       -          PF13927_seed         -              3e-22   79.8   3.8   7.6e-14   52.9   0.1   3.4   3   1   0   3   3   2   2 -
anno1.g208.t1        -          PF13927_seed         -            9.5e-22   78.2   0.7   7.1e-15   56.2   0.1   2.9   3   0   0   3   3   2   2 -
anno1.g5327.t1       -          PF13927_seed         -            1.5e-21   77.5   0.4   1.4e-05   26.3   0.0   4.9   4   1   0   4   4   4   3 -
anno1.g27061.t1      -          PF13927_seed         -            2.1e-21   77.1   0.2   9.1e-10   39.8   0.0   2.7   2   1   0   2   2   2   2 -
anno1.g27643.t1      -          PF13927_seed         -            2.3e-21   77.0   0.6   1.7e-11   45.4   0.1   2.8   2   0   0   2   2   2   2 -
anno1.g17388.t1      -          PF13927_seed         -            2.9e-21   76.6   3.6   2.6e-14   54.3   0.0   3.0   2   1   0   2   2   2   2 -
anno1.g4792.t1       -          PF13927_seed         -            3.3e-21   76.4   0.7   1.2e-09   39.4   0.0   2.7   2   0   0   2   2   2   2 -
anno1.g22538.t1      -          PF13927_seed         -            3.9e-21   76.2   0.3   1.9e-09   38.8   0.1   3.2   2   0   0   2   2   2   2 -
anno1.g3955.t1       -          PF13927_seed         -            4.7e-21   76.0  15.1   3.2e-10   41.2   1.0   4.5   5   0   0   5   5   3   2 -
anno1.g26046.t1      -          PF13927_seed         -            5.3e-21   75.8   3.4   1.5e-08   35.9   0.1   4.1   4   1   0   4   4   3   2 -
anno1.g889.t1        -          PF13927_seed         -              3e-20   73.4   2.1   1.1e-10   42.7   0.6   2.3   2   0   0   2   2   2   2 -
anno1.g9498.t1       -          PF13927_seed         -            4.7e-20   72.7   0.5     9e-08   33.4   0.0   3.8   3   1   0   3   3   3   2 -
anno1.g21372.t1      -          PF13927_seed         -              7e-20   72.2   0.1   7.9e-11   43.2   0.0   2.8   2   0   0   2   2   2   2 -
anno1.g209.t1        -          PF13927_seed         -            8.3e-20   72.0   0.1   2.5e-14   54.4   0.2   2.9   2   0   0   2   2   2   2 -
anno1.g30710.t1      -          PF13927_seed         -            2.4e-19   70.5   0.4   1.7e-09   38.9   0.1   2.2   2   0   0   2   2   2   2 -
anno1.g30102.t1      -          PF13927_seed         -            6.2e-19   69.1   5.4   1.1e-16   62.0   1.5   2.9   3   0   0   3   3   2   1 -
anno1.g15988.t1      -          PF13927_seed         -            6.6e-19   69.1   7.0   9.3e-09   36.5   0.0   3.4   3   0   0   3   3   3   2 -
anno1.g25041.t1      -          PF13927_seed         -            8.7e-19   68.7   6.4   1.4e-12   48.8   0.5   4.7   4   1   0   4   4   3   1 -
