#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g34785.t1      -          PF13519_full         -            2.4e-14   54.8   0.0     3e-14   54.5   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g15802.t1      -          PF13519_full         -            5.3e-14   53.7   0.0   6.7e-06   27.2   0.0   3.1   3   0   0   3   3   3   2 -
anno1.g2617.t1       -          PF13519_full         -            1.2e-13   52.5   0.0   1.8e-13   52.0   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g26689.t1      -          PF13519_full         -            1.4e-13   52.3   0.0   3.4e-13   51.1   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g1405.t1       -          PF13519_full         -            1.4e-13   52.3   0.3   2.8e-13   51.3   0.0   1.6   2   0   0   2   2   1   1 -
anno1.g32607.t1      -          PF13519_full         -            2.5e-13   51.5   0.3   3.4e-13   51.1   0.3   1.1   1   0   0   1   1   1   1 -
anno1.g17490.t1      -          PF13519_full         -            2.6e-13   51.4   0.0   4.4e-13   50.7   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g34786.t1      -          PF13519_full         -            2.7e-13   51.4   0.0   4.3e-13   50.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g9331.t1       -          PF13519_full         -            3.7e-13   50.9   0.0   5.8e-07   30.6   0.0   2.6   2   0   0   2   2   2   2 -
anno1.g34787.t1      -          PF13519_full         -            3.8e-13   50.9   0.0   4.7e-13   50.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g26461.t1      -          PF13519_full         -            4.2e-13   50.7   0.1   5.2e-13   50.5   0.1   1.1   1   0   0   1   1   1   1 -
anno1.g16184.t1      -          PF13519_full         -            6.1e-13   50.2   1.7   1.2e-05   26.3   0.0   2.4   2   0   0   2   2   2   2 -
anno1.g34708.t1      -          PF13519_full         -            1.1e-12   49.4   0.0   1.9e-12   48.6   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g21951.t1      -          PF13519_full         -            1.5e-12   49.0   0.2   2.7e-12   48.1   0.2   1.3   1   0   0   1   1   1   1 -
anno1.g4133.t1       -          PF13519_full         -            1.8e-12   48.7   0.0   3.4e-12   47.8   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g2294.t1       -          PF13519_full         -            2.5e-12   48.2   0.0   3.6e-12   47.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g248.t1        -          PF13519_full         -            2.7e-12   48.1   0.0   5.3e-12   47.2   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g26117.t1      -          PF13519_full         -            3.4e-12   47.8   0.0   5.9e-12   47.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g2565.t1       -          PF13519_full         -            3.5e-12   47.7   0.1   4.8e-12   47.3   0.1   1.1   1   0   0   1   1   1   1 -
anno1.g13258.t1      -          PF13519_full         -            7.3e-12   46.7   0.0   1.1e-06   29.7   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g21854.t1      -          PF13519_full         -            7.8e-12   46.6   0.0   9.1e-12   46.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g10148.t1      -          PF13519_full         -            8.7e-12   46.4   0.0   1.3e-11   45.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g2076.t1       -          PF13519_full         -            1.3e-11   45.9   0.1   2.6e-11   44.9   0.1   1.4   1   0   0   1   1   1   1 -
anno1.g2618.t1       -          PF13519_full         -            1.4e-11   45.7   0.0   1.9e-11   45.3   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g9682.t1       -          PF13519_full         -            2.3e-11   45.1   0.0   5.4e-11   43.8   0.0   1.6   1   0   0   1   1   1   1 -
anno1.g27338.t1      -          PF13519_full         -            2.3e-11   45.0   0.0   3.4e-11   44.5   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g5260.t1       -          PF13519_full         -            2.6e-11   44.9   0.0   4.1e-11   44.2   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g34707.t1      -          PF13519_full         -            2.6e-11   44.9   0.4   3.6e-11   44.4   0.4   1.1   1   0   0   1   1   1   1 -
anno1.g8497.t1       -          PF13519_full         -            3.2e-11   44.6   0.8   1.4e-10   42.5   0.0   2.4   2   0   0   2   2   1   1 -
anno1.g33525.t1      -          PF13519_full         -            3.9e-11   44.3   0.0   5.5e-11   43.8   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g4797.t1       -          PF13519_full         -            7.1e-11   43.4   0.1   2.9e-10   41.4   0.0   2.1   2   1   1   3   3   1   1 -
anno1.g19677.t1      -          PF13519_full         -            8.4e-11   43.2   0.0   1.3e-10   42.6   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g14753.t1      -          PF13519_full         -            9.2e-11   43.1   0.0   1.5e-10   42.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g19339.t1      -          PF13519_full         -            9.2e-11   43.1   0.0   1.2e-10   42.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g20182.t1      -          PF13519_full         -            9.8e-11   43.0   0.0   1.3e-10   42.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g29318.t1      -          PF13519_full         -              1e-10   43.0   0.0     2e-10   42.0   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g23316.t1      -          PF13519_full         -            1.1e-10   42.8   0.0   1.3e-10   42.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g33170.t1      -          PF13519_full         -            1.2e-10   42.8   0.0     4e-05   24.6   0.0   2.6   2   0   0   2   2   2   2 -
anno1.g13261.t1      -          PF13519_full         -            1.4e-10   42.5   0.5     2e-07   32.1   0.1   2.3   2   0   0   2   2   2   1 -
anno1.g20183.t1      -          PF13519_full         -            3.2e-10   41.3   0.0   4.4e-10   40.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g36406.t1      -          PF13519_full         -            3.2e-10   41.3   0.0   4.4e-10   40.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g30047.t1      -          PF13519_full         -            3.3e-10   41.3   0.2   1.2e-06   29.6   0.1   3.5   3   0   0   3   3   3   1 -
anno1.g9679.t1       -          PF13519_full         -            3.4e-10   41.2   0.0   9.9e-10   39.7   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g22144.t1      -          PF13519_full         -            5.7e-10   40.5   0.0   8.8e-10   39.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g2004.t2       -          PF13519_full         -            6.9e-10   40.2   0.0   1.2e-09   39.4   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g12192.t1      -          PF13519_full         -            8.4e-10   39.9   0.0   2.5e-09   38.4   0.0   1.8   1   0   0   1   1   1   1 -
anno1.g27412.t1      -          PF13519_full         -            9.8e-10   39.7   0.0   1.2e-09   39.4   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g20181.t1      -          PF13519_full         -            1.3e-09   39.3   0.0   1.8e-09   38.9   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g31629.t1      -          PF13519_full         -            1.4e-09   39.3   0.1   5.8e-07   30.7   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g8533.t1       -          PF13519_full         -            1.7e-09   38.9   0.0   3.2e-09   38.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g13274.t1      -          PF13519_full         -            5.9e-09   37.2   0.0   1.2e-08   36.1   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g1635.t1       -          PF13519_full         -              6e-09   37.1   0.0   3.2e-08   34.8   0.0   2.1   2   0   0   2   2   1   1 -
anno1.g30982.t1      -          PF13519_full         -            6.1e-09   37.1   0.0   8.2e-09   36.7   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g3398.t1       -          PF13519_full         -              1e-08   36.4   0.0   7.2e-06   27.1   0.0   2.3   2   0   0   2   2   2   1 -
anno1.g12191.t1      -          PF13519_full         -            1.2e-08   36.2   0.0   2.7e-08   35.0   0.0   1.5   1   0   0   1   1   1   1 -
anno1.g9483.t1       -          PF13519_full         -            1.6e-08   35.7   0.0   2.3e-08   35.2   0.0   1.2   1   0   0   1   1   1   1 -
