#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g21010.t1      -          PF13519_full         -            1.7e-16   62.1   0.0   2.3e-16   61.6   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g14523.t1      -          PF13519_full         -            3.5e-15   57.8   0.1   6.4e-15   56.9   0.0   1.3   1   1   0   1   1   1   1 -
anno1.g42923.t1      -          PF13519_full         -            4.2e-15   57.5   0.0   7.1e-15   56.8   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g24396.t1      -          PF13519_full         -            5.6e-15   57.1   0.0   1.1e-14   56.2   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g38302.t1      -          PF13519_full         -            6.3e-15   56.9   0.0   1.3e-14   55.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g40483.t1      -          PF13519_full         -            2.2e-14   55.1   1.0   8.5e-06   27.0   0.0   2.3   1   1   0   2   2   2   2 -
anno1.g2354.t1       -          PF13519_full         -            4.2e-14   54.2   0.0     6e-14   53.7   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g343.t1        -          PF13519_full         -            6.2e-14   53.7   0.0   8.6e-14   53.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g4133.t1       -          PF13519_full         -            6.8e-14   53.5   0.0     1e-13   53.0   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g31698.t1      -          PF13519_full         -            1.5e-13   52.4   0.0   6.2e-10   40.6   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g33035.t1      -          PF13519_full         -            1.6e-13   52.3   0.0   2.8e-13   51.5   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g22656.t1      -          PF13519_full         -            2.7e-13   51.6   0.0   3.6e-13   51.2   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g344.t1        -          PF13519_full         -            2.9e-13   51.5   0.0   3.7e-13   51.1   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g12091.t1      -          PF13519_full         -            3.9e-13   51.1   0.0   6.8e-13   50.3   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g10985.t1      -          PF13519_full         -            4.3e-13   50.9   0.0   4.3e-13   50.9   0.0   1.7   2   0   0   2   2   1   1 -
anno1.g13502.t1      -          PF13519_full         -            4.5e-13   50.8   0.0   5.5e-10   40.7   0.0   2.2   2   0   0   2   2   2   1 -
