#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g20649.t2      -          PF00047_full         -            1.2e-36  126.9   0.1   1.9e-13   51.4   0.0   3.6   1   1   2   3   3   3   3 -
anno1.g9905.t1       -          PF00047_full         -            1.6e-36  126.6   4.4   7.2e-13   49.5   0.0   4.1   1   1   3   4   4   4   4 -
anno1.g12296.t1      -          PF00047_full         -              3e-36  125.7   1.1   5.9e-14   53.0   0.0   4.4   1   1   3   4   4   4   3 -
anno1.g15563.t1      -          PF00047_full         -            3.1e-36  125.6   1.8   4.4e-14   53.4   0.1   3.5   1   1   2   3   3   3   3 -
anno1.g23382.t1      -          PF00047_full         -            8.6e-36  124.2   0.5   4.8e-12   46.8   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g23974.t1      -          PF00047_full         -              1e-35  123.9   0.0   7.9e-11   42.8   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g373.t1        -          PF00047_full         -            2.3e-35  122.8   1.2   1.2e-11   45.5   0.0   3.3   2   1   1   3   3   3   3 -
anno1.g9898.t1       -          PF00047_full         -            4.3e-35  121.9   5.8   3.9e-11   43.8   0.0   5.3   2   1   3   5   5   5   4 -
anno1.g20182.t1      -          PF00047_full         -            8.4e-35  120.9   6.4     3e-14   54.0   0.6   3.2   1   1   2   3   3   3   3 -
anno1.g367.t1        -          PF00047_full         -            9.9e-35  120.7   0.9   2.7e-12   47.6   0.0   3.3   2   1   1   3   3   3   3 -
anno1.g8812.t1       -          PF00047_full         -            3.2e-34  119.0   3.0   7.8e-14   52.6   1.1   3.8   2   1   1   3   3   3   3 -
anno1.g8170.t1       -          PF00047_full         -            5.2e-34  118.4   4.2   1.5e-06   28.9   0.1   5.0   2   1   2   5   5   5   5 -
anno1.g7564.t1       -          PF00047_full         -            6.9e-34  118.0   0.3   1.3e-13   51.9   0.1   3.2   2   1   1   3   3   3   3 -
anno1.g30147.t1      -          PF00047_full         -            8.2e-34  117.7  10.5   9.1e-12   45.9   1.2   4.4   1   1   3   4   4   4   4 -
anno1.g6143.t1       -          PF00047_full         -            1.1e-33  117.3   1.1   2.5e-10   41.2   0.1   3.5   2   1   1   3   3   3   3 -
anno1.g28462.t1      -          PF00047_full         -            1.2e-33  117.2   5.8   4.1e-11   43.8   0.1   3.5   2   1   1   3   3   3   3 -
anno1.g371.t1        -          PF00047_full         -            4.9e-33  115.2   0.6   1.7e-10   41.7   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g6079.t1       -          PF00047_full         -            1.8e-32  113.3   0.4   5.5e-15   56.4   0.1   2.2   2   0   0   2   2   2   2 -
anno1.g369.t1        -          PF00047_full         -            2.1e-32  113.2   2.3   1.6e-10   41.8   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g23967.t1      -          PF00047_full         -            2.2e-32  113.1   1.0   3.6e-11   43.9   0.1   3.4   1   1   2   3   3   3   3 -
anno1.g22960.t1      -          PF00047_full         -            3.9e-32  112.2   8.5   1.2e-10   42.3   0.2   5.7   3   2   1   5   5   5   4 -
anno1.g3380.t1       -          PF00047_full         -            4.7e-32  112.0   5.2   9.1e-16   58.9   0.9   2.3   1   1   1   2   2   2   2 -
anno1.g14455.t1      -          PF00047_full         -            1.3e-31  110.5  14.7   5.7e-15   56.3   0.3   3.5   1   1   2   3   3   3   2 -
anno1.g20033.t1      -          PF00047_full         -            1.7e-31  110.2  24.3   1.4e-09   38.8   0.1   6.8   1   1   4   6   6   6   4 -
anno1.g23972.t2      -          PF00047_full         -            4.1e-31  108.9   9.3   2.2e-11   44.6   0.9   3.7   2   1   2   4   4   3   3 -
anno1.g7728.t1       -          PF00047_full         -            5.8e-31  108.4   2.1   5.2e-08   33.6   0.0   4.2   3   1   1   4   4   4   4 -
anno1.g9902.t1       -          PF00047_full         -            5.8e-31  108.4  22.7   8.1e-09   36.3   0.0   5.5   1   1   4   5   5   5   5 -
anno1.g15645.t1      -          PF00047_full         -            7.4e-31  108.1   9.8   4.4e-17   63.2   0.6   3.4   1   1   1   3   3   3   3 -
