Immune_Trait,Diversity_Trait,N_Microbiomes,N_Genomes,Model_1,pVal_Model_1,Rsquared_Model_1,AIC_Model_1,AICc_Model_1,Model_2,pVal_Model_2,Rsquared_Model_2,AIC_Model_2,AICc_Model_2,Model_3,pVal_Model_3,Rsqared_Model_3,AIC_Model_3,AICc_Model_3,Model_4,pVal_Model_4,Rsquared_Model_4,AIC_Model_4,AICc_Model_4,Minimum_AIC,Minimum_AICc,PIC_Model,pVal_PIC,Rsquared_PIC
gini_index_skeleton,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.093428909,-0.030938626,74.15399266,77.58256409,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.082100752,0.748482736,60.63614612,67.30281279,"pgls(x_trait~y_trait, data=comp.data)",0.093428909,0.281073324,88.60339164,90.10339164,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.085083089,0.293648765,68.41891746,69.91891746,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.004884668,0.603960666
"ln_asvs_skeleton","IL1R",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000377405075695583,0.0726931158701385,59.8143210061911,63.2428924347625,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.0821007524594,0.748482735808669,60.636146123352,67.3028127900187,"pgls(x_trait~y_trait, data=comp.data)",0.000377405075433934,0.771064960438039,63.639074853934,65.139074853934,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.0194921985861309,0.472130585137394,51.6165345004927,53.1165345004927,"Model_4_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",6.39235351595876e-07,0.943546773496984
"gini_index_skeleton","IL1R",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.576821221546086,-0.729145452623329,66.6683995101152,70.0969709386867,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.142968542065027,0.635448658677429,51.5445321803712,58.2111988470379,"pgls(x_trait~y_trait, data=comp.data)",0.576821221489483,0.0359057445522659,79.4543333449923,80.9543333449923,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.206795933883572,0.1705602657343,56.5874512328591,58.0874512328591,"Model_2_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",1.115720505315e-05,0.893938246308876
"ln_asvs_skeleton","TLR",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000502765097137021,0.206692374453202,56.0095456164944,59.4381170450658,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.000642915466135269,0.726332596979782,46.3022724430342,52.9689391097009,"pgls(x_trait~y_trait, data=comp.data)",0.000502765097186497,0.75640747904656,58.9887938234625,60.4887938234625,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.00203585070512458,0.671036510193815,44.3266386624936,45.8266386624936,"Model_4_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",5.8511230336234e-06,0.907982041894736
"gini_index_skeleton","TLR",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.837439019682658,-0.442895142531407,62.5896996049873,66.0182710335588,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.154020707049624,0.630245508015738,49.6124555692615,56.2791222359282,"pgls(x_trait~y_trait, data=comp.data)",0.83743901945376,0.00493153118315551,74.469255682627,75.969255682627,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.183069318790796,0.187764882849694,54.9111536915889,56.4111536915889,"Model_2_AIC","Model_2_AICc","lm(y_trait_positive ~ x_trait_positive -1)",8.85989592365786e-05,0.832967596527972
"ln_asvs_tissue","TIR_total",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.00940795651504317,-0.284867619527559,76.5760388646689,80.0046102932403,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.0440077343973714,0.605118045709278,65.5979737442109,72.2646404108776,"pgls(x_trait~y_trait, data=comp.data)",0.00940795651397708,0.545709413348729,83.5541461171403,85.0541461171403,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.0955313846450223,0.278064459941541,68.2348146884172,69.7348146884172,"Model_2_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",0.650739089316851,0.023782547971102
"gini_index_tissue","TIR_total",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.294261012883845,-0.431551980253416,77.765176962264,81.1937483908354,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.949904166472995,0.625729225761233,65.0082930086935,71.6749596753601,"pgls(x_trait~y_trait, data=comp.data)",0.294261012893047,0.12112416946286,90.8131184259131,92.3131184259131,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.821762970946421,0.00594247835767533,71.7532660933248,73.2532660933248,"Model_2_AIC","Model_2_AICc","lm(y_trait_positive ~ x_trait_positive -1)",0.642098397678699,0.0250470333099296
"ln_asvs_tissue","IL1R",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.000706623774075019,-0.0810443350839152,61.501701956445,64.9302733850165,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.0357990205931109,0.49233568256033,55.187215632241,61.8538822989077,"pgls(x_trait~y_trait, data=comp.data)",0.000706623774091586,0.737835283773727,65.1299565630532,66.6299565630532,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.143836855241287,0.221672807432682,55.8878131493504,57.3878131493504,"Model_2_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",0.202169854524688,0.173754412915363
"gini_index_tissue","IL1R",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.516856732534792,-1.01599018678196,68.3567142049794,71.7852856335508,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.00301451933010505,0.5878748411524,52.8937887834507,59.5604554501173,"pgls(x_trait~y_trait, data=comp.data)",0.516856732490873,0.0481369780680766,79.3138861669358,80.8138861669358,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.385914624292043,0.0844723655830478,57.6737022757387,59.1737022757387,"Model_2_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",0.677608862183805,0.0200915043938798
"ln_asvs_tissue","TLR",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.00336328109246246,-0.155006172127132,60.1416944513217,63.5702658798931,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.479636959963714,0.335672679897146,56.057748596555,62.7244152632217,"pgls(x_trait~y_trait, data=comp.data)",0.00336328109036588,0.633985697763441,63.4677251658876,64.9677251658876,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.470438931521159,0.0593314016248483,55.8837240476273,57.3837240476273,"Model_4_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",0.350235107482136,0.0973608851677396
"gini_index_tissue","TLR",183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.801703217296815,-0.696497013722177,64.370752880412,67.7993243089834,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.695372417730468,0.517860644769649,52.5317889177898,59.1984555844564,"pgls(x_trait~y_trait, data=comp.data)",0.801703217445213,0.00738000288392885,74.442155658863,75.942155658863,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.625404345485165,0.0276006059769043,56.2486569892978,57.7486569892978,"Model_2_AIC","Model_4_AICc","lm(y_trait_positive ~ x_trait_positive -1)",0.917102525484353,0.00127153037711329
