"","W","p_val","q_val","diff_abn"
"Francisellaceae",0.0776138304770438,0,0,TRUE
"Unknown Family",7.03709232637753,0,0,TRUE
"Endozoicomonadaceae",2.84842674026714,0.182926801841735,0.356607103014794,FALSE
"Pasteurellaceae",0.277401276276146,0,0,TRUE
"Moraxellaceae",3.1714123863424,0,0,TRUE
"Pseudomonadaceae",15.9584688104422,0,0,TRUE
"Woeseiaceae",8.66699253307776,0,0,TRUE
"Unclassified Gammaproteobacteria",13.1896702564533,0,0,TRUE
"Vibrionaceae",2.33252346273219,0,0,TRUE
"Xanthomonadaceae",0.587775290779161,0,0,TRUE
"Unclassified Proteobacteria",1.3231096671138,0,0,TRUE
"Spirochaetaceae",0.239491966799854,0,0,TRUE
"Unclassified Bacteria",11.4104591056002,0,0,TRUE
"Puniceicoccaceae",1.81513703587317,0.355786441527672,0.557719286719053,FALSE
"DEV007",19.8523404399264,0,0,TRUE
"Rubritaleaceae",13.6325838646535,0,0,TRUE
"Unclassified Verrucomicrobiales",2.0767737092984,0,0,TRUE
"Unclassified Unassigned",1.90090179269077,0,0,TRUE
